20260623T,221.65,221.65,138.37,138.37,98
20260624T,221.65,221.65,138.37,138.37,98
20260625T,221.65,221.65,138.37,138.37,98
20260626T,221.65,221.65,138.37,138.37,98
20260627T,221.65,221.65,138.37,138.37,98
20260628T,130.52,130.52,111.54,111.54,89
20260629T,130.52,130.52,111.54,111.54,89
20260630T,130.52,130.52,111.54,111.54,89
20260701T,130.52,130.52,111.54,111.54,89
20260702T,130.52,130.52,111.54,111.54,89
20260703T,104.89,104.89,103.41,103.41,69
20260704T,104.89,104.89,103.41,103.41,69
20260705T,104.89,104.89,103.41,103.41,69
20260706T,104.89,104.89,103.41,103.41,69
20260707T,104.89,104.89,103.41,103.41,69
20260708T,93.33,99.56,93.33,99.56,49
20260709T,93.33,99.56,93.33,99.56,49
20260710T,93.33,99.56,93.33,99.56,49
20260711T,93.33,99.56,93.33,99.56,49
20260712T,93.33,99.56,93.33,99.56,49
20260713T,79.25,94.2,79.25,94.2,29
20260714T,79.25,94.2,79.25,94.2,29
20260715T,79.25,94.2,79.25,94.2,29
20260716T,79.25,94.2,79.25,94.2,29
20260717T,79.25,94.2,79.25,94.2,29
20260718T,45.99,78.15,45.99,78.15,9
20260719T,45.99,78.15,45.99,78.15,9
20260720T,45.99,78.15,45.99,78.15,9
20260721T,45.99,78.15,45.99,78.15,9
20260722T,45.99,78.15,45.99,78.15,9
20260723T,10.82,42.33,10.82,42.33,1
20260724T,10.82,42.33,10.82,42.33,1
20260725T,10.82,42.33,10.82,42.33,1
20260726T,10.82,42.33,10.82,42.33,1
20260727T,10.82,42.33,10.82,42.33,1
