20260617T,105.79,105.79,101.59,101.59,98
20260618T,105.79,105.79,101.59,101.59,98
20260619T,105.79,105.79,101.59,101.59,98
20260620T,105.79,105.79,101.59,101.59,98
20260621T,105.79,105.79,101.59,101.59,98
20260622T,97.03,99.7,97.03,99.7,89
20260623T,97.03,99.7,97.03,99.7,89
20260624T,97.03,99.7,97.03,99.7,89
20260625T,97.03,99.7,97.03,99.7,89
20260626T,97.03,99.7,97.03,99.7,89
20260627T,94.68,98.49,94.68,98.49,69
20260628T,94.68,98.49,94.68,98.49,69
20260629T,94.68,98.49,94.68,98.49,69
20260630T,94.68,98.49,94.68,98.49,69
20260701T,94.68,98.49,94.68,98.49,69
20260702T,91.63,96.65,91.63,96.65,49
20260703T,91.63,96.65,91.63,96.65,49
20260704T,91.63,96.65,91.63,96.65,49
20260705T,91.63,96.65,91.63,96.65,49
20260706T,91.63,96.65,91.63,96.65,49
20260707T,89.25,95.97,89.25,95.97,29
20260708T,89.25,95.97,89.25,95.97,29
20260709T,89.25,95.97,89.25,95.97,29
20260710T,89.25,95.97,89.25,95.97,29
20260711T,89.25,95.97,89.25,95.97,29
20260712T,86.52,94.95,86.52,94.95,9
20260713T,86.52,94.95,86.52,94.95,9
20260714T,86.52,94.95,86.52,94.95,9
20260715T,86.52,94.95,86.52,94.95,9
20260716T,86.52,94.95,86.52,94.95,9
20260717T,80.56,94.86,80.56,94.86,1
20260718T,80.56,94.86,80.56,94.86,1
20260719T,80.56,94.86,80.56,94.86,1
20260720T,80.56,94.86,80.56,94.86,1
20260721T,80.56,94.86,80.56,94.86,1
