20260822T,0,1000,0,156.75,0
20260823T,0,1000,0,156.75,0
20260824T,0,1000,0,156.75,0
20260825T,0,1000,0,156.75,0
20260826T,0,1000,0,156.75,0
20260827T,0,1000,0,106.88,0
20260828T,0,1000,0,106.88,0
20260829T,0,1000,0,106.88,0
20260830T,0,1000,0,106.88,0
20260831T,0,1000,0,106.88,0
20260901T,0,1000,0,98.5,0
20260902T,0,1000,0,98.5,0
20260903T,0,1000,0,98.5,0
20260904T,0,1000,0,98.5,0
20260905T,0,1000,0,98.5,0
20260906T,0,1000,0,94.77,0
20260907T,0,1000,0,94.77,0
20260908T,0,1000,0,94.77,0
20260909T,0,1000,0,94.77,0
20260910T,0,1000,0,94.77,0
20260911T,0,1000,0,89.92,0
20260912T,0,1000,0,89.92,0
20260913T,0,1000,0,89.92,0
20260914T,0,1000,0,89.92,0
20260915T,0,1000,0,89.92,0
20260916T,0,1000,0,78.93,0
20260917T,0,1000,0,78.93,0
20260918T,0,1000,0,78.93,0
20260919T,0,1000,0,78.93,0
20260920T,0,1000,0,78.93,0
20260921T,0,1000,0,50.99,0
20260922T,0,1000,0,50.99,0
20260923T,0,1000,0,50.99,0
20260924T,0,1000,0,50.99,0
20260925T,0,1000,0,50.99,0
